"patchX [cm]","patchY [cm]","Phi [deg]","Freq [GHz]","max(dB(GainTotal)) []"
0.6,0.8,0,10,5.55608123193425
0.6,0.8,0,11.5,6.02402434916816
0.6,0.8,0,13,5.22420172057129
0.6,0.8,0,14.5,2.85691324441645
0.6,0.8,0,16,0.0054205597270809
0.6,0.8,0,17.5,2.64241203065952
0.6,0.8,0,18.25,5.14139517978521
0.6,0.8,0,19,6.4708984697805
0.6,0.8,0,20.5,5.68173854603488
0.6,0.8,0,21.25,3.90201731425739
0.6,0.8,0,22,2.8993610160649
0.6,0.8,0,22.75,2.45736828189228
0.6,0.8,0,23.5,3.01320123775832
0.6,0.8,0,25,4.98134747811745
0.6,0.9,0,1,-29.2830409499945
0.6,0.9,0,2.5,-16.7066419114969
0.6,0.9,0,4,-8.26183589406558
0.6,0.9,0,7,3.39000307801757
0.6,0.9,0,10,5.60838832806321
0.6,0.9,0,11.5,5.99013386328833
0.6,0.9,0,12.25,5.27967557415298
0.6,0.9,0,13,3.85653166391382
0.6,0.9,0,14.5,-2.22717943598237
0.6,0.9,0,16,0.969255775281382
0.6,0.9,0,17.5,5.49279990694551
0.6,0.9,0,19,7.08663346854268
0.6,0.9,0,19.75,6.63322174579713
0.6,0.9,0,20.5,5.07241590199713
0.6,0.9,0,22,2.25587440722403
0.6,0.9,0,22.75,2.08034763305462
0.6,0.9,0,23.5,3.16313220511319
0.6,0.9,0,25,3.59185321076153
0.6,1,0,1,-28.8732829213714
0.6,1,0,2.5,-16.3386214139199
0.6,1,0,4,-7.98142766869063
0.6,1,0,7,3.44621046236142
0.6,1,0,10,5.62739353285799
0.6,1,0,11.5,5.79565035582721
0.6,1,0,12.25,3.95356962491112
0.6,1,0,13,-0.0445783222077542
0.6,1,0,14.5,0.0720295764279707
0.6,1,0,16,4.1774494416541
0.6,1,0,17.5,6.52908926646597
0.6,1,0,19,6.94362586242789
0.6,1,0,22,0.980555165214752
0.6,1,0,23.5,1.6982621899257
0.6,1,0,25,2.44350450619783
0.6,1.1,0,1,-28.4992187581565
0.6,1.1,0,2.5,-15.9685974040863
0.6,1.1,0,4,-7.59890659551471
0.6,1.1,0,7,3.44569900525786
0.6,1.1,0,10,5.61836498353945
0.6,1.1,0,10.75,5.96842815933637
0.6,1.1,0,11.5,4.88513451302272
0.6,1.1,0,13,-2.21132899067164
0.6,1.1,0,14.5,3.43674047278078
0.6,1.1,0,15.25,4.53349458874698
0.6,1.1,0,16,5.57396714164862
0.6,1.1,0,17.5,6.81250366030619
0.6,1.1,0,19,5.89439996992968
0.6,1.1,0,22,0.0584573851894902
0.6,1.1,0,25,1.87684359127768
0.6,1.2,0,1,-28.1639964994516
0.6,1.2,0,4,-7.44199177119791
0.6,1.2,0,5.5,0.649919016323096
0.6,1.2,0,7,3.4159588776203
0.6,1.2,0,8.5,4.44884091311852
0.6,1.2,0,10,5.52366111013619
0.6,1.2,0,11.5,1.06944870367686
0.6,1.2,0,12.25,-0.416029582745755
0.6,1.2,0,13,2.2850205893967
0.6,1.2,0,14.5,5.01810698466907
0.6,1.2,0,16,6.05092236528558
0.6,1.2,0,17.5,6.41956341975764
0.6,1.2,0,19,4.83618963004835
0.6,1.2,0,19.75,3.71552021655174
0.6,1.2,0,20.5,1.83829004094281
0.6,1.2,0,22,0.113818219518736
0.6,1.2,0,23.5,0.742101638416606
0.6,1.2,0,25,2.06234703292461
0.6,1.3,0,1,-27.8387418695089
0.6,1.3,0,2.5,-15.3569549684898
0.6,1.3,0,4,-7.17296309158444
0.6,1.3,0,7,3.33722672805908
0.6,1.3,0,10,5.20505925665685
0.6,1.3,0,11.5,1.8220284897702
0.6,1.3,0,13,4.43279145301872
0.6,1.3,0,14.5,5.89458975934162
0.6,1.3,0,16,6.26841214024064
0.6,1.3,0,17.5,5.47548608344998
0.6,1.3,0,18.25,5.16747007586913
0.6,1.3,0,19,4.69542593549906
0.6,1.3,0,20.5,0.591485568472185
0.6,1.3,0,21.25,0.727360731466625
0.6,1.3,0,22,0.6823544414878
0.6,1.3,0,23.5,0.861405597192121
0.6,1.3,0,24.25,1.45306922982191
0.6,1.3,0,25,1.51693704274322
0.6,1.4,0,1,-27.5662529733435
0.6,1.4,0,2.5,-15.1094629989147
0.6,1.4,0,4,-7.06208423480778
0.6,1.4,0,7,3.17494884886915
0.6,1.4,0,8.5,3.89607219428381
0.6,1.4,0,10,3.27687891469947
0.6,1.4,0,10.75,3.20813508455987
0.6,1.4,0,11.5,4.70818451934609
0.6,1.4,0,13,5.33794242980258
0.6,1.4,0,14.5,6.22167619746506
0.6,1.4,0,16,5.9784018978181
0.6,1.4,0,17.5,4.41377429979269
0.6,1.4,0,18.25,4.80815331029692
0.6,1.4,0,19,2.92554927276356
0.6,1.4,0,20.5,0.436625948337294
0.6,1.4,0,22,0.0704446134012239
0.6,1.4,0,23.5,0.973000301317072
0.6,1.4,0,25,1.23834149550477
0.6,1.5,0,1,-27.4118780180865
0.6,1.5,0,2.5,-15.0030591671313
0.6,1.5,0,4,-7.21993093205502
0.6,1.5,0,7,2.62901815953383
0.6,1.5,0,8.5,2.59956098237727
0.6,1.5,0,10,-1.64620691744209
0.6,1.5,0,10.75,5.58327465013461
0.6,1.5,0,11.5,6.02489556728733
0.6,1.5,0,13,6.10238146273407
0.6,1.5,0,16,5.64875655236183
0.6,1.5,0,16.75,4.05041812627475
0.6,1.5,0,17.5,4.44210456133521
0.6,1.5,0,18.25,2.41277934038986
0.6,1.5,0,19,2.09723431222517
0.6,1.5,0,20.5,1.4220030407856
0.6,1.5,0,22,-0.0563005324539662
0.6,1.5,0,23.5,2.211447824361
0.6,1.5,0,24.25,2.04158105580066
0.6,1.5,0,25,3.10162039582994
0.6,1.6,0,1,-27.1305281675732
0.6,1.6,0,2.5,-14.7684970229268
0.6,1.6,0,4,-7.18266795898695
0.6,1.6,0,5.5,0.201921686682728
0.6,1.6,0,7,2.2081450441544
0.6,1.6,0,8.5,0.823641796891049
0.6,1.6,0,10,3.7108707075244
0.6,1.6,0,10.75,6.05673022826935
0.6,1.6,0,11.5,6.26605421282661
0.6,1.6,0,13,6.26041118029151
0.6,1.6,0,16,4.84941425091858
0.6,1.6,0,19,2.92773267489039
0.6,1.6,0,20.5,1.59238627149107
0.6,1.6,0,22,1.10719603799218
0.6,1.6,0,23.5,2.41359667280282
0.6,1.6,0,25,4.09079849926356
0.6,1.7,0,1,-26.8013364759989
0.6,1.7,0,1.75,-19.3779016318756
0.6,1.7,0,2.5,-14.473952231829
0.6,1.7,0,4,-7.02966598975399
0.6,1.7,0,5.5,0.0554447140046053
0.6,1.7,0,7,1.62580514896878
0.6,1.7,0,8.5,-3.04639090857155
0.6,1.7,0,9.25,-2.18759641436347
0.6,1.7,0,10,5.27853622082178
0.6,1.7,0,10.75,6.26357236076548
0.6,1.7,0,11.5,6.43397245222604
0.6,1.7,0,13,6.42736702788069
0.6,1.7,0,13.75,6.5206276844831
0.6,1.7,0,14.5,6.31959237985696
0.6,1.7,0,16,3.56490965459697
0.6,1.7,0,16.75,1.33217917530334
0.6,1.7,0,17.5,1.99956126355255
0.6,1.7,0,18.25,2.69217906118875
0.6,1.7,0,19,2.66893121766319
0.6,1.7,0,20.5,0.687960502288236
0.6,1.7,0,22,1.9398582698532
0.6,1.7,0,22.75,2.42482634326408
0.6,1.7,0,23.5,1.92444332085568
0.6,1.7,0,24.25,2.01945533155526
0.6,1.7,0,25,5.79940437721718
0.6,1.8,0,1,-26.5121790926894
0.6,1.8,0,2.5,-14.2025596789893
0.6,1.8,0,4,-6.91785726546621
0.6,1.8,0,4.75,-3.00129347396787
0.6,1.8,0,5.5,-0.109874098553241
0.6,1.8,0,7,0.94175024719934
0.6,1.8,0,8.5,-11.2161163237559
0.6,1.8,0,9.25,2.3861687910122
0.6,1.8,0,10,5.721972542733
0.6,1.8,0,11.5,6.60206885269401
0.6,1.8,0,13,6.54986111763968
0.6,1.8,0,13.75,6.46360964859996
0.6,1.8,0,14.5,5.97040266468945
0.6,1.8,0,16,1.8889846620354
0.6,1.8,0,17.5,2.26823017998645
0.6,1.8,0,19,2.47916813326504
0.6,1.8,0,20.5,1.1121426359005
0.6,1.8,0,22,2.69250436385958
0.6,1.8,0,22.75,2.43313333384036
0.6,1.8,0,23.5,0.164089219983335
0.6,1.8,0,24.25,4.56222780736159
0.6,1.8,0,25,7.05579666795732
0.6,1.9,0,1,-26.2569516381372
0.6,1.9,0,2.5,-13.9685183619533
0.6,1.9,0,4,-6.82945292596845
0.6,1.9,0,7,0.203504911234205
0.6,1.9,0,8.5,-8.74784685638356
0.6,1.9,0,10,5.87267965797339
0.6,1.9,0,10.75,6.43939107137698
0.6,1.9,0,11.5,6.66048406386432
0.6,1.9,0,13,6.55265171779136
0.6,1.9,0,14.5,5.53642428740891
0.6,1.9,0,15.25,3.57340423652078
0.6,1.9,0,16,1.89881006894777
0.6,1.9,0,16.75,2.23190697300911
0.6,1.9,0,17.5,2.20884411212284
0.6,1.9,0,19,2.08799941318469
0.6,1.9,0,20.5,1.20144875215332
0.6,1.9,0,22,3.28266810767681
0.6,1.9,0,25,7.34886364434621
0.6,1.91,0,1,-26.2147005217616
0.6,1.91,0,2.5,-13.9309595272288
0.6,1.91,0,4,-6.82571264415003
0.6,1.91,0,7,0.118107965464889
0.6,1.91,0,8.5,-7.67751632359333
0.6,1.91,0,10,5.93845689430733
