"patchX [cm]","patchY [cm]","Freq [GHz]","dB(St11) []"
0.5,0.9,4.87878787878788,-0.193307247689612
0.5,0.9,5.12121212121212,-0.199716754758421
0.5,0.9,5.36363636363636,-0.209731690796443
0.5,0.9,5.60606060606061,-0.223480499825023
0.5,0.9,5.84848484848485,-0.240899740704107
0.5,0.9,6.09090909090909,-0.261752176625536
0.5,0.9,6.33333333333333,-0.285667071254197
0.5,0.9,6.57575757575758,-0.312202238464956
0.5,0.9,6.81818181818182,-0.340925088792108
0.5,0.9,7.06060606060606,-0.371507573402696
0.5,0.9,7.3030303030303,-0.403827684027746
0.5,0.9,7.54545454545455,-0.438068125982394
0.5,0.9,7.78787878787879,-0.474801084620182
0.5,0.9,8.03030303030303,-0.515046973508315
0.5,0.9,8.27272727272727,-0.560295325585288
0.5,0.9,8.51515151515152,-0.612478591873001
0.5,0.9,8.75757575757576,-0.673895822965356
0.5,0.9,9,-0.74709412002617
0.5,0.9,9.24242424242424,-0.83473154990341
0.5,0.9,9.48484848484848,-0.939464512938252
0.5,0.9,9.72727272727273,-1.06392218432519
0.5,0.9,9.96969696969697,-1.21084672486871
0.5,0.9,10.2121212121212,-1.38348779719822
0.5,0.9,10.4545454545455,-1.58634354378071
0.5,0.9,10.6969696969697,-1.82633849690453
0.5,0.9,10.9393939393939,-2.11451524843433
0.5,0.9,11.1818181818182,-2.46825829285843
0.5,0.9,11.4242424242424,-2.91387481491791
0.5,0.9,11.6666666666667,-3.48883955962224
0.5,0.9,11.9090909090909,-4.24185262979478
0.5,0.9,12.1515151515152,-5.2265801225883
0.5,0.9,12.3939393939394,-6.4804771090647
0.5,0.9,12.6363636363636,-7.97040432022793
0.5,0.9,12.8787878787879,-9.47579801506514
0.5,0.9,13.1212121212121,-10.4687813139989
0.5,0.9,13.3636363636364,-10.4187416352067
0.5,0.9,13.6060606060606,-9.48022894938333
0.5,0.9,13.8484848484848,-8.23612729849751
0.5,0.9,14.0909090909091,-7.08008457078847
0.5,0.9,14.3333333333333,-6.18350154612916
0.5,0.9,14.5757575757576,-5.62323893382567
0.5,0.9,14.8181818181818,-5.43310880093953
0.5,0.9,15.0606060606061,-5.6057253698623
0.5,0.9,15.3030303030303,-6.09296194460467
0.5,0.9,15.5454545454545,-6.82372712140457
0.5,0.9,15.7878787878788,-7.72832533668513
0.5,0.9,16.030303030303,-8.75362632485419
0.5,0.9,16.2727272727273,-9.86476588334636
0.5,0.9,16.5151515151515,-11.0358220362211
0.5,0.9,16.7575757575758,-12.2295730660264
0.5,0.9,17,-13.3629638188916
0.5,0.9,17.2424242424242,-14.267077552369
0.5,0.9,17.4848484848485,-14.7037880092165
0.5,0.9,17.7272727272727,-14.5244079377584
0.5,0.9,17.969696969697,-13.8297693213811
0.5,0.9,18.2121212121212,-12.8723224542218
0.5,0.9,18.4545454545455,-11.8605531418814
0.5,0.9,18.6969696969697,-10.8998619151965
0.5,0.9,18.9393939393939,-10.0248052463878
0.5,0.9,19.1818181818182,-9.23743634616723
0.5,0.9,19.4242424242424,-8.52985893699541
0.5,0.9,19.6666666666667,-7.8946823372669
0.5,0.9,19.9090909090909,-7.32897030924225
0.5,0.9,20.1515151515152,-6.83494072103721
0.5,0.9,20.3939393939394,-6.41890821955786
0.5,0.9,20.6363636363636,-6.08912361521635
0.5,0.9,20.8787878787879,-5.85298258820789
0.5,0.9,21.1212121212121,-5.71424931146848
0.5,0.9,21.3636363636364,-5.6711049075558
0.5,0.9,21.6060606060606,-5.7156549722126
0.5,0.9,21.8484848484848,-5.83497128063272
0.5,0.9,22.0909090909091,-6.01313057831088
0.5,0.9,22.3333333333333,-6.23344555060371
0.5,0.9,22.5757575757576,-6.48024958021557
0.5,0.9,22.8181818181818,-6.73997118801954
0.5,0.9,23.0606060606061,-7.00155028109157
0.5,0.9,23.3030303030303,-7.25639620309059
0.5,0.9,23.5454545454545,-7.4980976712204
0.5,0.9,23.7878787878788,-7.72204089807817
0.5,0.9,24.030303030303,-7.92502917660095
0.5,0.9,24.2727272727273,-8.10494873115536
0.5,0.9,24.5151515151515,-8.2604955797717
0.5,0.9,24.7575757575758,-8.3909624482842
0.5,0.9,25,-8.49607812575973
0.5,1,1,-0.145939301876262
0.5,1,1.24242424242424,-0.160989410094816
0.5,1,1.48484848484849,-0.174546278841714
0.5,1,1.72727272727273,-0.185640405183131
0.5,1,1.96969696969697,-0.193779909692259
0.5,1,2.21212121212121,-0.198877975385852
0.5,1,2.45454545454545,-0.201152685485047
0.5,1,2.6969696969697,-0.201029274841848
0.5,1,2.93939393939394,-0.199058580874732
0.5,1,3.18181818181818,-0.195854970173427
0.5,1,3.42424242424242,-0.192051792736642
